iter	Passed	Remaining
0	1	195
1	3	180
2	5	175
3	6	159
4	8	158
5	10	164
6	12	166
7	14	164
8	15	160
9	17	158
10	19	155
11	20	150
12	22	147
13	24	147
14	25	145
15	26	141
16	28	137
17	29	135
18	31	134
19	33	133
20	34	131
21	36	129
22	38	127
23	39	126
24	41	123
25	42	121
26	44	119
27	45	118
28	47	117
29	49	115
30	50	113
31	52	111
32	54	110
33	56	108
34	57	106
35	58	104
36	60	103
37	62	101
38	63	99
39	65	98
40	67	96
41	67	93
42	69	91
43	70	90
44	72	88
45	74	86
46	75	85
47	77	83
48	78	82
49	80	80
50	81	78
51	84	77
52	85	75
53	86	73
54	87	71
55	89	70
56	90	68
57	92	66
58	93	65
59	95	63
60	96	61
61	98	60
62	99	58
63	100	56
64	102	55
65	104	53
66	105	52
67	107	50
68	108	48
69	110	47
70	112	45
71	113	44
72	114	42
73	116	40
74	117	39
75	119	37
76	121	36
77	122	34
78	124	33
79	127	31
80	130	30
81	131	28
82	133	27
83	134	25
84	136	24
85	137	22
86	139	20
87	140	19
88	143	17
89	144	16
90	145	14
91	147	12
92	149	11
93	150	9
94	152	8
95	153	6
96	155	4
97	157	3
98	158	1
99	160	0
